num,source_path,classification,proposed_bucket,final_bucket
108,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_20_D35_RICH_TEXT_ATTACHMENTS_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
109,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_20_MARKET_DATA_SETTINGS_UI_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
110,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_30_D35_RICH_TEXT_ATTACHMENTS_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
111,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_30_MARKET_DATA_SETTINGS_UI_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
112,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_31_MB3A_GATE0_ALERTS_PREP_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
113,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_50_D35_RICH_TEXT_ATTACHMENTS_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
114,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_50_MARKET_DATA_SETTINGS_UI_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
115,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_50_MB3A_ALERTS_GATE_A_ACK.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
116,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_50_MB3A_ALERTS_GATE_A_QA_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
117,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_50_MB3A_NOTES_GATE_A_QA_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
118,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_60_D35_RICH_TEXT_ATTACHMENTS_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
119,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_60_MARKET_DATA_SETTINGS_UI_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
120,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_90_MARKET_DATA_SETTINGS_UI_GATE_B_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
121,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_90_MARKET_DATA_SETTINGS_UI_GATE_B_RE_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
122,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_90_MB3A_ALERTS_GATE_B_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
123,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_90_MB3A_NOTES_GATE_B_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
124,"_COMMUNICATION/team_10/TEAM_170_INTAKE_PACKAGE_2026-02-18/03_governance/GOVERNANCE_SOURCE_MATRIX.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
125,"_COMMUNICATION/team_100/ARCHITECT_APPROVAL_PACKET_DEV_DEPARTMENT_TARGET.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
126,"_COMMUNICATION/team_100/ARCHITECT_MANDATE_AGENT_ORCHESTRATION_TEAM_100.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
127,"_COMMUNICATION/team_100/ARCHITECT_MANDATE_AGENT_ORCHESTRATION_TEAM_100_v1.0.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
128,"_COMMUNICATION/team_100/ARCHITECT_SUBMISSION_BUNDLE_DEV_DEPT_TARGET_v1.1/ARCHITECT_APPROVAL_PACKET_DEV_DEPARTMENT_TARGET_v1.1.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
129,"_COMMUNICATION/team_100/ARCHITECT_SUBMISSION_BUNDLE_DEV_DEPT_TARGET_v1.1/ARCHITECT_DIRECTIVE_GOVERNANCE_STRENGTHENING.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
130,"_COMMUNICATION/team_100/ARCHITECT_SUBMISSION_BUNDLE_DEV_OS_TARGET_v1.2/ARCHITECT_APPROVAL_PACKET_DEV_DEPT_TARGET_v1.2.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
131,"_COMMUNICATION/team_100/ARCHITECT_SUBMISSION_BUNDLE_DEV_OS_TARGET_v1.2/ARCHITECT_DIRECTIVE_GOVERNANCE_STRENGTHENING.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
132,"_COMMUNICATION/team_100/ARCHITECT_SUBMISSION_BUNDLE_DEV_OS_TARGET_v1.2/ARTIFACT_TAXONOMY_REGISTRY_v1.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
133,"_COMMUNICATION/team_100/ARCHITECT_SUBMISSION_BUNDLE_DEV_OS_TARGET_v1.2/RETRY_AND_CLARIFICATION_PROTOCOL_v1.0.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
134,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/00_INDEX_CANONICAL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
135,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/03_ARTIFACT_TAXONOMY_REGISTRY.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
136,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/04_GATE_MODEL_PROTOCOL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
137,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/04_GATE_MODEL_PROTOCOL_v2.0.0.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
138,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/04_GATE_MODEL_PROTOCOL_v2.2.0.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
139,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/04_GATE_MODEL_PROTOCOL_v2.3.0.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
140,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/05_RETRY_PROTOCOL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","03-PROTOCOLS","03-PROTOCOLS"
141,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/07_TEAM_190_CONSTITUTION.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
142,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/08_EXEC_SUMMARY_STANDARD.md","PROMOTE_TO_CANONICAL_GOVERNANCE","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
143,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/09_TECHNICAL_REPORT_STANDARD.md","PROMOTE_TO_CANONICAL_GOVERNANCE","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
144,"_COMMUNICATION/team_100/DEV_OS_TARGET_MODEL_CANONICAL_v1.3.1/PHOENIX_DEV_OS_FULL_HANDOFF_v1.0/03_IRON_RULES_AND_GOVERNANCE_CONSTITUTION.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
145,"_COMMUNICATION/team_100/PHOENIX_DEV_OS_FULL_HANDOFF_v1.0/03_IRON_RULES_AND_GOVERNANCE_CONSTITUTION.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
146,"_COMMUNICATION/team_100/TEAM_100_ARCH_APPROVAL_PACKAGE_FORMAT_LOCK_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
147,"_COMMUNICATION/team_100/TEAM_100_GATE_0_GATE_1_CANONICAL_DESIGN_GATES_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
148,"_COMMUNICATION/team_100/TEAM_100_RETURN_FOR_CANONICAL_UPDATE_v2.2.0.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
149,"_COMMUNICATION/team_100/TEAM_100_TO_170_190_GATE_RENUMBERING_v2.0.0.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS"
150,"_COMMUNICATION/team_100/TEAM_100_TO_170_SSM_FINAL_LOCK_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
151,"_COMMUNICATION/team_100/TEAM_100_TO_ALL_ARCHITECTURE_TEAMS_GATE_AND_IDENTITY_FREEZE.md","WORKING_OR_THREAD_ARTIFACT","02-POLICIES","02-POLICIES"
152,"_COMMUNICATION/team_100/TEAM_100_TO_TEAM_170_CONTEXT_BOUNDARY_RULE_UPDATE_DIRECTIVE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
153,"_COMMUNICATION/team_100/TEAM_100_TO_TEAM_170_DOMAIN_REFACTOR_DIRECTIVE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
154,"_COMMUNICATION/team_100/TEAM_100_TO_TEAM_170_WSM_OPERATIONAL_STATE_PROTOCOL_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
155,"_COMMUNICATION/team_100/TEAM_100_TO_TEAM_190_WSM_OPERATIONAL_STATE_VALIDATION_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
156,"_COMMUNICATION/team_170/ARCHITECTURAL_APPROVAL_PROTOCOL_FORMALIZATION_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
157,"_COMMUNICATION/team_170/ARCH_APPROVAL_EXECUTION_SUBMISSION_TEMPLATE_CANONICAL_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","06-TEMPLATES","06-TEMPLATES"
158,"_COMMUNICATION/team_170/ARCH_APPROVAL_PROTOCOL_DIFF_SUMMARY_2026-02-21.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
159,"_COMMUNICATION/team_170/ARCH_APPROVAL_SPEC_SUBMISSION_TEMPLATE_CANONICAL_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","06-TEMPLATES","06-TEMPLATES"
160,"_COMMUNICATION/team_170/CANONICAL_RULE_DECISION_GATE_ID_PRE_GATE3.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
161,"_COMMUNICATION/team_170/CANONICAL_STRUCTURAL_UPDATE_CHANGELOG_v2.2.0.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","99-ARCHIVE"
162,"_COMMUNICATION/team_170/CANONICAL_TEMPLATES_v2.2.0/00_IDENTITY_HEADER_BLOCK.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS"
163,"_COMMUNICATION/team_170/CANONICAL_TEMPLATES_v2.2.0/02_GATE_SUBMISSION_PACKAGE.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
164,"_COMMUNICATION/team_170/CANONICAL_TEMPLATES_v2.2.0/06_GATE_TRANSITION_RECORD.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS"
165,"_COMMUNICATION/team_170/DOMAIN_REFACTOR_EXECUTION_PLAYBOOK_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
166,"_COMMUNICATION/team_170/GATE_2_SUPERSEDED_AND_ARCHIVE_PROCEDURE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
167,"_COMMUNICATION/team_170/GATE_MODEL_ALIGNMENT_ARCH_APPROVAL_2026-02-21.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
168,"_COMMUNICATION/team_170/GATE_MODEL_MIGRATION_REPORT_v2.0.0.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
169,"_COMMUNICATION/team_170/PHOENIX_MASTER_SSM_v1.0.0_CANDIDATE_AFTER_DELTA.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
170,"_COMMUNICATION/team_170/PHOENIX_MASTER_WSM_v1.1.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
171,"_COMMUNICATION/team_170/SSM_DELTA_PROPOSAL_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
172,"_COMMUNICATION/team_170/SSM_STRUCTURAL_UPDATE_v2.2.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
173,"_COMMUNICATION/team_170/TEAM_100_GATE_0_1_REFINITION_DIRECTIVE_RECORD.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
174,"_COMMUNICATION/team_170/TEAM_170_ACK_TEAM_190_DIRECTIVE_EXPANDED_v1.1.0.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
175,"_COMMUNICATION/team_170/TEAM_170_ACK_TEAM_190_WSM_OPERATIONAL_STATE_VALIDATION_RESULT_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
176,"_COMMUNICATION/team_170/TEAM_170_ARCH_APPROVAL_PACKAGE_FORMAT_LOCK_COMPLETION.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
177,"_COMMUNICATION/team_170/TEAM_170_CANONICAL_STRUCTURAL_UPDATE_v2.2.0_SUBMISSION_CONTENT_ORIGINAL.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
178,"_COMMUNICATION/team_170/TEAM_170_CONTEXT_BOUNDARY_RULE_UPDATE_DIRECTIVE_RECORD.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
179,"_COMMUNICATION/team_170/TEAM_170_DOMAIN_REFACTOR_DIRECTIVE_INTAKE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
180,"_COMMUNICATION/team_170/TEAM_170_SSM_APPROVAL_PROTOCOL_ADDENDUM_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
181,"_COMMUNICATION/team_170/TEAM_170_SSM_FINAL_LOCK_UPDATE_v1.0.0_VALIDATION_HANDOFF.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
182,"_COMMUNICATION/team_170/TEAM_170_SSM_LOCK_AND_STRUCTURE_ALIGNMENT_MANDATE_ACK.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
183,"_COMMUNICATION/team_170/TEAM_170_SUBMISSION_ORIGINALS_AND_190_CONTRACT_PROCEDURE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
184,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_100_TEAM_190_ARCH_APPROVAL_PROTOCOL_DELIVERY.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
185,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_10_SSM_CANONICAL_REPLACEMENT_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
186,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_190_GATE_PROTOCOL_v2_3_0_INTEGRATION_VALIDATION_REQUEST.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
187,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_190_SPEC_PACKAGE_GATE5_SUBMISSION.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
188,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_190_SPEC_PACKAGE_v1.1.0_GATE5_SUBMISSION.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
189,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_190_SPEC_PACKAGE_v1.2.0_GATE5_SUBMISSION.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
190,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_190_SPEC_PACKAGE_v1.4.0_GATE5_SUBMISSION.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
191,"_COMMUNICATION/team_170/TEAM_170_TO_TEAM_190_WSM_OPERATIONAL_STATE_VALIDATION_REQUEST_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
192,"_COMMUNICATION/team_170/WSM_PHASE_UPDATE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
193,"_COMMUNICATION/team_170/WSM_STRUCTURAL_UPDATE_v2.2.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
194,"_COMMUNICATION/team_170/WSM_TASK_STRUCTURE_L1_L2_L3_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
195,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","06-TEMPLATES","06-TEMPLATES"
196,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/DIRECTIVE_RECORD.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
197,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/EXECUTION_SUBMISSION_TEMPLATE/DIRECTIVE_RECORD.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
198,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/EXECUTION_SUBMISSION_TEMPLATE/PROCEDURE_AND_CONTRACT_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
199,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/EXECUTION_SUBMISSION_TEMPLATE/SSM_VERSION_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
200,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/EXECUTION_SUBMISSION_TEMPLATE/WSM_VERSION_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
201,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/PROCEDURE_AND_CONTRACT_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
202,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/SPEC_SUBMISSION_TEMPLATE/DIRECTIVE_RECORD.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
203,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/SPEC_SUBMISSION_TEMPLATE/PROCEDURE_AND_CONTRACT_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
204,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/SPEC_SUBMISSION_TEMPLATE/SSM_VERSION_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
205,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/SPEC_SUBMISSION_TEMPLATE/WSM_VERSION_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
206,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/SSM_VERSION_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
207,"_COMMUNICATION/team_190/ARCHITECTURAL_APPROVAL_PACKAGE_TEMPLATE_v1.0.0/WSM_VERSION_REFERENCE.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
208,"_COMMUNICATION/team_190/CANONICAL_STRUCTURAL_UPDATE_V2_2_0_CONSOLIDATED_VALIDATION_REPORT.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
209,"_COMMUNICATION/team_190/CHANNEL_10_90_CANONICAL_CONFIRMATION_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
210,"_COMMUNICATION/team_190/CHANNEL_10_90_TEMPLATE_PROPOSAL_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","06-TEMPLATES","06-TEMPLATES"
211,"_COMMUNICATION/team_190/GATE_ENUM_CANONICAL_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
212,"_COMMUNICATION/team_190/GATE_MODEL_REREVIEW_v2.0.0.md","WORKING_OR_THREAD_ARTIFACT","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
213,"_COMMUNICATION/team_190/GATE_PROTOCOL_CANONICAL_UPDATE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
214,"_COMMUNICATION/team_190/GATE_RENUMBERING_V2_0_0_CONSTITUTIONAL_PRECHECK.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
215,"_COMMUNICATION/team_190/MB3A_ALERTS_WIDGET_SPEC_V1_0_1_CONSTITUTIONAL_REVIEW.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
216,"_COMMUNICATION/team_190/MB3A_POC_AGENT_OS_SPEC_PACKAGE_V1_0_0_CONSTITUTIONAL_REVIEW.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
217,"_COMMUNICATION/team_190/MB3A_POC_AGENT_OS_SPEC_PACKAGE_V1_2_0_CONSTITUTIONAL_REVIEW.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
218,"_COMMUNICATION/team_190/MB3A_POC_AGENT_OS_SPEC_PACKAGE_V1_3_0_V1_4_0_UNIFIED_CONSTITUTIONAL_REVIEW.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
219,"_COMMUNICATION/team_190/RETURN_TO_170_INCOMPLETE_PACKAGE_WSM_PHASE_UPDATE_v1.0.0.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
220,"_COMMUNICATION/team_190/TEAM_190_ACTIVATION_PACKAGE_2026-02-18/01_anchors/ARCHITECT_DIRECTIVE_GOVERNANCE_STRENGTHENING.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
221,"_COMMUNICATION/team_190/TEAM_190_ACTIVATION_PACKAGE_2026-02-18/01_anchors/CANONICAL_GOVERNANCE_ANCHORS.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
